Sequence Length,Model,Validation Accuracy,Validation Loss,Training Time (s),Parameters
10,RNN,0.4065000116825104,2.100268840789795,8.24,37249
10,LSTM,0.4210000038146972,2.095792770385742,16.64,111361
10,GRU,0.4350000023841858,2.0318312644958496,15.31,87041
60,RNN,0.3849999904632568,2.1357860565185547,22.57,37249
60,LSTM,0.3840000033378601,2.1161391735076904,73.39,111361
60,GRU,0.4004999995231628,2.0411601066589355,71.46,87041
80,RNN,0.4065000116825104,2.109605073928833,30.55,37249
80,LSTM,0.4144999980926513,2.089893579483032,102.32,111361
80,GRU,0.4255000054836273,2.0125439167022705,105.63,87041
