Model,Validation Accuracy,Validation Loss,Training Time (s),Parameters
RNN,0.4065000116825104,2.109605073928833,30.55,37249
LSTM,0.41449999809265137,2.0898935794830322,102.32,111361
GRU,0.4255000054836273,2.0125439167022705,105.63,87041
