Model,Validation Accuracy,Validation Loss,Training Time (s),Parameters
RNN,0.4065000116825104,2.100268840789795,8.24,37249
LSTM,0.42100000381469727,2.095792770385742,16.64,111361
GRU,0.4350000023841858,2.0318312644958496,15.31,87041
