Model,Validation Accuracy,Validation Loss,Training Time (s),Parameters
RNN,0.38499999046325684,2.1357860565185547,62.42,37249
LSTM,0.3840000033378601,2.1161391735076904,110.85,111361
GRU,0.40049999952316284,2.0411603450775146,84.31,87041
